# NEC選定IBM拡張
for i in range(0, 450):
    c_s = 0xed40 + i
    try:
        print("cp932", hex(c_s)[2:], hex(ord(bytes.fromhex(hex(c_s)[2:]).decode('cp932')))[2:],"chr", bytes.fromhex(hex(c_s)[2:]).decode('cp932'))
    except UnicodeDecodeError as e:
        print("cp932", hex(c_s)[2:], "")
---
cp932 ee6a 7aeb chr 竫
cp932 ee6b 7b9e chr 箞
cp932 ee6c fa1d chr 精
cp932 ee6d 7d48 chr 絈
cp932 ee6e 7d5c chr 絜
cp932 ee6f 7db7 chr 綷
cp932 ee70 7da0 chr 綠
cp932 ee71 7dd6 chr 緖
cp932 ee72 7e52 chr 繒
cp932 ee73 7f47 chr 罇
cp932 ee74 7fa1 chr 羡
cp932 ee75 fa1e chr 羽
cp932 ee76 8301 chr 茁
cp932 ee77 8362 chr 荢
cp932 ee78 837f chr 荿
cp932 ee79 83c7 chr 菇
cp932 ee7a 83f6 chr 菶
cp932 ee7b 8448 chr 葈
cp932 ee7c 84b4 chr 蒴
cp932 ee7d 8553 chr 蕓
cp932 ee7e 8559 chr 蕙
cp932 ee7f
cp932 ee80 856b chr 蕫
cp932 ee81 fa1f chr 﨟
cp932 ee82 85b0 chr 薰
cp932 ee83 fa20 chr 蘒
cp932 ee84 fa21 chr 﨡
cp932 ee85 8807 chr 蠇
cp932 ee86 88f5 chr 裵
cp932 ee87 8a12 chr 訒
cp932 ee88 8a37 chr 訷
cp932 ee89 8a79 chr 詹
cp932 ee8a 8aa7 chr 誧
cp932 ee8b 8abe chr 誾
cp932 ee8c 8adf chr 諟
cp932 ee8d fa22 chr 諸
cp932 ee8e 8af6 chr 諶
cp932 ee8f 8b53 chr 譓
cp932 ee90 8b7f chr 譿
cp932 ee91 8cf0 chr 賰
cp932 ee92 8cf4 chr 賴
cp932 ee93 8d12 chr 贒
cp932 ee94 8d76 chr 赶
cp932 ee95 fa23 chr 﨣
cp932 ee96 8ecf chr 軏
cp932 ee97 fa24 chr 﨤
cp932 ee98 fa25 chr 逸
cp932 ee99 9067 chr 遧
cp932 ee9a 90de chr 郞
cp932 ee9b fa26 chr 都
cp932 ee9c 9115 chr 鄕
cp932 ee9d 9127 chr 鄧
cp932 ee9e 91da chr 釚
cp932 ee9f 91d7 chr 釗
cp932 eea0 91de chr 釞
cp932 eea1 91ed chr 釭
cp932 eea2 91ee chr 釮
cp932 eea3 91e4 chr 釤
cp932 eea4 91e5 chr 釥
cp932 eea5 9206 chr 鈆
cp932 eea6 9210 chr 鈐
cp932 eea7 920a chr 鈊
cp932 eea8 923a chr 鈺
cp932 eea9 9240 chr 鉀
cp932 eeaa 923c chr 鈼
cp932 eeab 924e chr 鉎
cp932 eeac 9259 chr 鉙
cp932 eead 9251 chr 鉑
cp932 eeae 9239 chr 鈹
cp932 eeaf 9267 chr 鉧
cp932 eeb0 92a7 chr 銧
cp932 eeb1 9277 chr 鉷
cp932 eeb2 9278 chr 鉸
cp932 eeb3 92e7 chr 鋧
cp932 eeb4 92d7 chr 鋗
cp932 eeb5 92d9 chr 鋙
cp932 eeb6 92d0 chr 鋐
cp932 eeb7 fa27 chr 﨧
cp932 eeb8 92d5 chr 鋕
cp932 eeb9 92e0 chr 鋠
cp932 eeba 92d3 chr 鋓
cp932 eebb 9325 chr 錥
cp932 eebc 9321 chr 錡
cp932 eebd 92fb chr 鋻
cp932 eebe fa28 chr 﨨
cp932 eebf 931e chr 錞
cp932 eec0 92ff chr 鋿
cp932 eec1 931d chr 錝
cp932 eec2 9302 chr 錂
cp932 eec3 9370 chr 鍰
cp932 eec4 9357 chr 鍗
cp932 eec5 93a4 chr 鎤
cp932 eec6 93c6 chr 鏆
cp932 eec7 93de chr 鏞
cp932 eec8 93f8 chr 鏸
